Frequency in Hz	Silk_94 Sound Reflection Factor continuous Re	Frequency in Hz	Silk_94 Sound Reflection Factor continuous Im	
100	0,949160933494568	100	-0,127363532781601	
103,125	0,941909790039063	103,125	-0,11637918651104	
106,25	0,941706597805023	106,25	-0,148290693759918	
109,375	0,951441824436188	109,375	-0,134055718779564	
112,5	0,939259588718414	112,5	-0,138274252414703	
115,625	0,93768447637558	115,625	-0,148579761385918	
118,75	0,941486597061157	118,75	-0,140936776995659	
121,875	0,926597416400909	121,875	-0,147364124655724	
125	0,937287092208862	125	-0,149722665548325	
128,125	0,93502289056778	128,125	-0,159367069602013	
131,25	0,934776067733765	131,25	-0,157269015908241	
134,375	0,942406594753265	134,375	-0,157722696661949	
137,5	0,916811287403107	137,5	-0,171263784170151	
140,625	0,914980888366699	140,625	-0,15987665951252	
143,75	0,910467863082886	143,75	-0,170287787914276	
146,875	0,926696062088013	146,875	-0,160051479935646	
150	0,912708520889282	150	-0,169533938169479	
153,125	0,911397695541382	153,125	-0,181930869817734	
156,25	0,911310493946075	156,25	-0,176503837108612	
159,375	0,909834027290344	159,375	-0,181100144982338	
162,5	0,910258650779724	162,5	-0,180192694067955	
165,625	0,90458357334137	165,625	-0,178902193903923	
168,75	0,900706946849823	168,75	-0,194417878985405	
171,875	0,895532667636871	171,875	-0,184397086501122	
175	0,888141214847565	175	-0,190791323781013	
178,125	0,894320070743561	178,125	-0,194251537322998	
181,25	0,893189430236816	181,25	-0,190804407000542	
184,375	0,886220335960388	184,375	-0,190424919128418	
187,5	0,876854360103607	187,5	-0,198461383581161	
190,625	0,875890910625458	190,625	-0,193773776292801	
193,75	0,870121419429779	193,75	-0,204535141587257	
196,875	0,872695207595825	196,875	-0,199558854103088	
200	0,87848973274231	200	-0,199502602219582	
203,125	0,880485832691193	203,125	-0,198411926627159	
206,25	0,867190480232239	206,25	-0,214860633015633	
209,375	0,865702748298645	209,375	-0,208432748913765	
212,5	0,872501492500305	212,5	-0,202630773186684	
215,625	0,856898248195648	215,625	-0,215130567550659	
218,75	0,860545873641968	218,75	-0,206953972578049	
221,875	0,85486364364624	221,875	-0,214240580797195	
225	0,849582850933075	225	-0,212239310145378	
228,125	0,846296489238739	228,125	-0,213947966694832	
231,25	0,845411598682404	231,25	-0,213790461421013	
234,375	0,840429127216339	234,375	-0,215824112296104	
237,5	0,845820307731628	237,5	-0,214413091540337	
240,625	0,843298137187958	240,625	-0,227439060807228	
243,75	0,840329468250275	243,75	-0,221337020397186	
246,875	0,830345451831818	246,875	-0,220886424183846	
250	0,827682554721832	250	-0,220650196075439	
253,125	0,829765319824219	253,125	-0,223467811942101	
256,25	0,824796617031097	256,25	-0,227849662303925	
259,375	0,819358646869659	259,375	-0,222538769245148	
262,5	0,820632219314575	262,5	-0,228158637881279	
265,625	0,820640861988068	265,625	-0,23294822871685	
268,75	0,817035615444183	268,75	-0,227607995271683	
271,875	0,811529040336609	271,875	-0,23297418653965	
275	0,813460469245911	275	-0,233274981379509	
278,125	0,80637514591217	278,125	-0,235832214355469	
281,25	0,805251598358154	281,25	-0,233830213546753	
284,375	0,803695321083069	284,375	-0,234479025006294	
287,5	0,810878038406372	287,5	-0,234502553939819	
290,625	0,797466218471527	290,625	-0,246813699603081	
293,75	0,798350393772125	293,75	-0,243969306349754	
296,875	0,793004095554352	296,875	-0,243375450372696	
300	0,79007625579834	300	-0,242699727416039	
303,125	0,784157156944275	303,125	-0,248496606945992	
306,25	0,777903497219086	306,25	-0,248131036758423	
309,375	0,771822690963745	309,375	-0,246662944555283	
312,5	0,76165246963501	312,5	-0,249214768409729	
315,625	0,752802789211273	315,625	-0,235871195793152	
318,75	0,750055611133575	318,75	-0,23556861281395	
321,875	0,756987392902374	321,875	-0,226461693644524	
325	0,759694993495941	325	-0,221859559416771	
328,125	0,756441354751587	328,125	-0,217653498053551	
331,25	0,763257622718811	331,25	-0,229125291109085	
334,375	0,763412475585938	334,375	-0,228959053754807	
337,5	0,760475933551788	337,5	-0,224988400936127	
340,625	0,761593818664551	340,625	-0,227881386876106	
343,75	0,75604373216629	343,75	-0,233023285865784	
346,875	0,756672441959381	346,875	-0,233141228556633	
350	0,753928244113922	350	-0,230157196521759	
353,125	0,755362749099731	353,125	-0,230362862348557	
356,25	0,756068706512451	356,25	-0,236031800508499	
359,375	0,750791072845459	359,375	-0,241120398044586	
362,5	0,746291220188141	362,5	-0,238023072481155	
365,625	0,740415811538696	365,625	-0,23561118543148	
368,75	0,745133280754089	368,75	-0,236480563879013	
371,875	0,753153204917908	371,875	-0,240695282816887	
375	0,730117499828339	375	-0,233774021267891	
378,125	0,731553137302399	378,125	-0,240146175026894	
381,25	0,739783942699432	381,25	-0,234197854995728	
384,375	0,725624859333038	384,375	-0,235311910510063	
387,5	0,723894596099854	387,5	-0,244673922657967	
390,625	0,726620733737946	390,625	-0,247887879610062	
393,75	0,733408451080322	393,75	-0,236843198537827	
396,875	0,731854438781738	396,875	-0,234829485416412	
400	0,729287028312683	400	-0,231414377689362	
403,125	0,727552235126495	403,125	-0,229935169219971	
