complexity,loss,equation,score,sympy_format,lambda_format
1,0.009567317,-0.3774887,0.0,-0.377488700000000,PySRFunction(X=>-0.377488700000000)
3,0.006494656,-1.7832078 / log10_sigma,0.19368656298973,-1.7832078/log10_sigma,PySRFunction(X=>-1.7832078/log10_sigma)
4,0.0029247154,log(log10_sigma * 0.14636391),0.7977825080969566,log(0.14636391*log10_sigma),PySRFunction(X=>log(0.14636391*log10_sigma))
5,0.0006204806,(log10_sigma * 0.44005996) - 2.4409993,1.550458116739674,log10_sigma*0.44005996 - 1*2.4409993,PySRFunction(X=>log10_sigma*0.44005996 - 1*2.4409993)
7,0.0005556441,((log10_sigma * -1.7989694) + 9.963807) / log10_lambda,0.05518317883336979,(9.963807 + log10_sigma*(-1.7989694))/log10_lambda,PySRFunction(X=>(9.963807 + log10_sigma*(-1.7989694))/log10_lambda)
8,0.0005278346,((log(log10_f) + log10_sigma) * 0.44118515) - 2.9196448,0.0513450043252748,0.44118515*log10_sigma + 0.44118515*log(log10_f) - 2.9196448,PySRFunction(X=>0.44118515*log10_sigma + 0.44118515*log(log10_f) - 2.9196448)
9,0.0005004289,(alpha_infinity * 0.035223883) + ((log10_sigma * 0.44069654) - 2.498383),0.05331744633306827,alpha_infinity*0.035223883 + log10_sigma*0.44069654 - 1*2.498383,PySRFunction(X=>alpha_infinity*0.035223883 + log10_sigma*0.44069654 - 1*2.498383)
11,0.0004989498,((-0.22223891 / (log10_f * alpha_infinity)) + (log10_sigma * 0.4409126)) + -2.3935604,0.001480020616779386,log10_sigma*0.4409126 - 2.3935604 - 0.22223891*1/(alpha_infinity*log10_f),PySRFunction(X=>log10_sigma*0.4409126 - 2.3935604 - 0.22223891*1/(alpha_infinity*log10_f))
12,0.0004796743,(-0.3974683 / (sqrt(alpha_infinity) * log10_f)) + ((log10_sigma * 0.44079795) + -2.3332906),0.03939815756679094,0.44079795*log10_sigma - 2.3332906 - 0.3974683/(sqrt(alpha_infinity)*log10_f),PySRFunction(X=>0.44079795*log10_sigma - 2.3332906 - 0.3974683/(sqrt(alpha_infinity)*log10_f))
13,0.00045059834,((-0.7760659 / (sqrt(sqrt(alpha_infinity)) * log10_f)) + -2.2050416) + (log10_sigma * 0.4408588),0.06253098790724393,0.4408588*log10_sigma - 2.2050416 - 0.7760659/(alpha_infinity**(1/4)*log10_f),PySRFunction(X=>0.4408588*log10_sigma - 2.2050416 - 0.7760659/(alpha_infinity**(1/4)*log10_f))
15,0.00045059714,(((log10_sigma * 0.4409909) + 1.1239918) - 3.329943) + (-0.7750622 / (sqrt(sqrt(alpha_infinity)) * log10_f)),1.3315646012844907e-06,0.4409909*log10_sigma - 2.2059512 - 0.7750622/(alpha_infinity**(1/4)*log10_f),PySRFunction(X=>0.4409909*log10_sigma - 2.2059512 - 0.7750622/(alpha_infinity**(1/4)*log10_f))
17,0.0003969879,((((alpha_infinity * -0.13456611) + (log10_sigma * -1.6826458)) + (5.0925198 - (-7.6078167 / log10_f))) / -3.8188422) + -0.48310333,0.0633339396259739,(alpha_infinity*(-0.13456611) + log10_sigma*(-1.6826458) + 5.0925198 - (-1)*7.6078167/log10_f)/(-3.8188422) - 0.48310333,PySRFunction(X=>(alpha_infinity*(-0.13456611) + log10_sigma*(-1.6826458) + 5.0925198 - (-1)*7.6078167/log10_f)/(-3.8188422) - 0.48310333)
