Frequency in Hz	Wool_96 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_96 Sound Reflection Factor continuous Im	
100	0.963897526264191	100	-0.131858766078949	
103.125	0.957250714302063	103.125	-0.122643731534481	
106.25	0.958105206489563	106.25	-0.155936777591705	
109.375	0.96980208158493	109.375	-0.141388282179832	
112.5	0.957764804363251	112.5	-0.146590664982796	
115.625	0.956398367881775	115.625	-0.158097341656685	
118.75	0.961250483989716	118.75	-0.150284752249718	
121.875	0.948410868644714	121.875	-0.158079922199249	
125	0.960141777992249	125	-0.160712271928787	
128.125	0.958773851394653	128.125	-0.172151178121567	
131.25	0.959154307842255	131.25	-0.170195415616035	
134.375	0.967567324638367	134.375	-0.170823857188225	
137.5	0.942636132240295	137.5	-0.186688393354416	
140.625	0.941690802574158	140.625	-0.175383791327477	
143.75	0.938367009162903	143.75	-0.186968743801117	
146.875	0.956107676029205	146.875	-0.176508441567421	
150	0.942980885505676	150	-0.187892690300941	
153.125	0.943132162094116	153.125	-0.201982110738754	
156.25	0.943839848041534	156.25	-0.197123751044273	
159.375	0.943393886089325	159.375	-0.202758863568306	
162.5	0.944951772689819	162.5	-0.202825784683228	
165.625	0.939905345439911	165.625	-0.20267228782177	
168.75	0.93723452091217	168.75	-0.220369845628738	
171.875	0.932578325271606	171.875	-0.210756868124008	
175	0.926140606403351	175	-0.218884199857712	
178.125	0.933830380439758	178.125	-0.223501056432724	
181.25	0.933726251125336	181.25	-0.221024289727211	
184.375	0.927430868148804	184.375	-0.221973836421967	
187.5	0.918726801872253	187.5	-0.232259914278984	
190.625	0.918701767921448	190.625	-0.227990016341209	
193.75	0.913820266723633	193.75	-0.241272121667862	
196.875	0.917619228363037	196.875	-0.236689433455467	
200	0.924901843070984	200	-0.237797141075134	
203.125	0.92892050743103	203.125	-0.237890839576721	
206.25	0.915721118450165	206.25	-0.257096737623215	
209.375	0.914816558361053	209.375	-0.251417815685272	
212.5	0.923224687576294	212.5	-0.246459439396858	
215.625	0.907917082309723	215.625	-0.261717736721039	
218.75	0.912558734416962	218.75	-0.254364460706711	
221.875	0.907655894756317	221.875	-0.26394122838974	
225	0.902862727642059	225	-0.263415694236755	
228.125	0.900235295295715	228.125	-0.266957938671112	
231.25	0.90034031867981	231.25	-0.268589854240417	
234.375	0.895870745182037	234.375	-0.272412091493607	
237.5	0.90313583612442	237.5	-0.272591173648834	
240.625	0.901191592216492	240.625	-0.289185494184494	
243.75	0.898979365825653	243.75	-0.284161478281021	
246.875	0.888854086399078	246.875	-0.285072892904282	
250	0.88666820526123	250	-0.286667495965958	
253.125	0.890297472476959	253.125	-0.291408270597458	
256.25	0.885497212409973	256.25	-0.298680543899536	
259.375	0.880333602428436	259.375	-0.294426470994949	
262.5	0.882628083229065	262.5	-0.302628308534622	
265.625	0.88360059261322	265.625	-0.309988856315613	
268.75	0.88064569234848	268.75	-0.305924415588379	
271.875	0.87519496679306	271.875	-0.313973039388657	
275	0.87846314907074	275	-0.316068410873413	
278.125	0.87055104970932	278.125	-0.320832967758179	
281.25	0.870181620121002	281.25	-0.320552319288254	
284.375	0.868986129760742	284.375	-0.323109328746796	
287.5	0.877106070518494	287.5	-0.321706414222717	
290.625	0.861182689666748	290.625	-0.341251611709595	
293.75	0.86342316865921	293.75	-0.341297477483749	
296.875	0.858646988868713	296.875	-0.342965394258499	
300	0.854378461837769	300	-0.346212714910507	
303.125	0.850154042243958	303.125	-0.353661626577377	
306.25	0.84393835067749	306.25	-0.35566183924675	
309.375	0.837755858898163	309.375	-0.355396628379822	
312.5	0.825915634632111	312.5	-0.360528141260147	
315.625	0.817274034023285	315.625	-0.345137000083923	
318.75	0.815478980541229	318.75	-0.348078638315201	
321.875	0.824760496616364	321.875	-0.341620951890945	
325	0.827705144882202	325	-0.338290303945541	
328.125	0.82429051399231	328.125	-0.33541738986969	
331.25	0.832005739212036	331.25	-0.351031541824341	
334.375	0.832229375839233	334.375	-0.353748828172684	
337.5	0.829453945159912	337.5	-0.351218611001968	
340.625	0.831289350986481	340.625	-0.357546955347061	
343.75	0.824611842632294	343.75	-0.365319460630417	
346.875	0.825555086135864	346.875	-0.366889446973801	
350	0.822927415370941	350	-0.366058260202408	
353.125	0.823737919330597	353.125	-0.368208259344101	
356.25	0.825395166873932	356.25	-0.378122121095657	
359.375	0.818583071231842	359.375	-0.387980669736862	
362.5	0.814374089241028	362.5	-0.386935532093048	
365.625	0.806532442569733	365.625	-0.383098512887955	
368.75	0.813753545284271	368.75	-0.389449536800385	
371.875	0.823009192943573	371.875	-0.399448931217194	
375	0.790001511573792	375	-0.389505803585052	
378.125	0.792981684207916	378.125	-0.398138463497162	
381.25	0.807617485523224	381.25	-0.394827634096146	
384.375	0.787895679473877	384.375	-0.396319985389709	
387.5	0.783997476100922	387.5	-0.412358105182648	
390.625	0.786262035369873	390.625	-0.420475691556931	
393.75	0.798891723155975	393.75	-0.407485604286194	
396.875	0.797533869743347	396.875	-0.407519817352295	
400	0.795087099075317	400	-0.406705439090729	
403.125	0.793160974979401	403.125	-0.4081130027771	
406.25	0.782184302806854	406.25	-0.413155764341354	
409.375	0.765511095523834	409.375	-0.420025050640106	
412.5	0.759188711643219	412.5	-0.430018454790115	
415.625	0.774019539356232	415.625	-0.433188825845718	
418.75	0.760652005672455	418.75	-0.429916888475418	
421.875	0.758175611495972	421.875	-0.442278385162354	
425	0.758760392665863	425	-0.437890857458115	
428.125	0.764978229999542	428.125	-0.423969924449921	
431.25	0.757730424404144	431.25	-0.44270595908165	
434.375	0.757396638393402	434.375	-0.438082128763199	
437.5	0.756547033786774	437.5	-0.438714981079102	
440.625	0.753806829452515	440.625	-0.436648339033127	
443.75	0.746588051319122	443.75	-0.444470196962357	
446.875	0.744084298610687	446.875	-0.441858261823654	
450	0.755247175693512	450	-0.444620221853256	
453.125	0.753150403499603	453.125	-0.446234107017517	
456.25	0.75614196062088	456.25	-0.451756626367569	
459.375	0.745051860809326	459.375	-0.45637521147728	
462.5	0.735036075115204	462.5	-0.463757514953613	
465.625	0.735066175460815	465.625	-0.466527491807938	
468.75	0.733932256698608	468.75	-0.465135872364044	
471.875	0.722937643527985	471.875	-0.475960254669189	
475	0.720080971717834	475	-0.474194765090942	
478.125	0.720035493373871	478.125	-0.465262174606323	
481.25	0.726220488548279	481.25	-0.467582017183304	
484.375	0.714729189872742	484.375	-0.473435968160629	
487.5	0.715113282203674	487.5	-0.469884604215622	
490.625	0.711097002029419	490.625	-0.473901331424713	
493.75	0.704812705516815	493.75	-0.474360525608063	
496.875	0.703036844730377	496.875	-0.475883692502975	
500	0.70529842376709	500	-0.484440684318542	
503.125	0.701099097728729	503.125	-0.486470252275467	
506.25	0.700479328632355	506.25	-0.486246138811111	
509.375	0.697770059108734	509.375	-0.492255508899689	
512.5	0.689676463603973	512.5	-0.492862582206726	
515.625	0.689775049686432	515.625	-0.48852750658989	
518.75	0.688470900058746	518.75	-0.487521708011627	
521.875	0.682450294494629	521.875	-0.497918874025345	
525	0.678327620029449	525	-0.49702924489975	
528.125	0.682344734668732	528.125	-0.498609006404877	
531.25	0.675207853317261	531.25	-0.500742614269257	
534.375	0.672386646270752	534.375	-0.50147420167923	
537.5	0.669479846954346	537.5	-0.503538310527802	
540.625	0.667284786701202	540.625	-0.505601227283478	
