Frequency in Hz	Wool_99 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_99 Sound Reflection Factor continuous Im	
100	0,961548268795013	100	-0,119457080960274	
103,125	0,954750180244446	103,125	-0,109596572816372	
106,25	0,957107841968536	106,25	-0,142347633838654	
109,375	0,968398571014404	109,375	-0,127366855740547	
112,5	0,956404685974121	112,5	-0,132273271679878	
115,625	0,954946219921112	115,625	-0,143294408917427	
118,75	0,959935426712036	118,75	-0,134903937578201	
121,875	0,946967661380768	121,875	-0,142754957079887	
125	0,959366202354431	125	-0,144230872392654	
128,125	0,958455920219421	128,125	-0,155761405825615	
131,25	0,958628237247467	131,25	-0,153762891888618	
134,375	0,967541217803955	134,375	-0,153708174824715	
137,5	0,943350076675415	137,5	-0,169344574213028	
140,625	0,942128658294678	140,625	-0,157999381422997	
143,75	0,939392864704132	143,75	-0,169305816292763	
146,875	0,957009553909302	146,875	-0,15834940969944	
150	0,944439589977264	150	-0,169341400265694	
153,125	0,944989144802094	153,125	-0,182957321405411	
156,25	0,945960521697998	156,25	-0,177682414650917	
159,375	0,945960164070129	159,375	-0,18296991288662	
162,5	0,947734296321869	162,5	-0,182552218437195	
165,625	0,943166613578796	165,625	-0,182181656360626	
168,75	0,941197276115417	168,75	-0,199333295226097	
171,875	0,936571180820465	171,875	-0,189657241106033	
175	0,930754899978638	175	-0,197499990463257	
178,125	0,93881630897522	178,125	-0,20149102807045	
181,25	0,938988864421844	181,25	-0,198751270771027	
184,375	0,932991087436676	184,375	-0,199564218521118	
187,5	0,925072371959686	187,5	-0,209662601351738	
190,625	0,925256073474884	190,625	-0,205230623483658	
193,75	0,921203315258026	193,75	-0,218360021710396	
196,875	0,925183117389679	196,875	-0,213222160935402	
200	0,932838082313538	200	-0,213941320776939	
203,125	0,937287151813507	203,125	-0,213626831769943	
206,25	0,925133943557739	206,25	-0,232542902231216	
209,375	0,92453408241272	209,375	-0,226640492677689	
212,5	0,933126866817474	212,5	-0,221030667424202	
