Frequency in Hz	Acrylic_95 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Acrylic_95 Sound Absorption Coefficient continuous	
125	0,0615730173885822	100	0,0428784915522841	
160	0,0790433883666992	103,125	0,0422968033825367	
200	0,105970732867718	106,25	0,0372464028605236	
250	0,142069309949875	109,375	0,0352256407971762	
315	0,206992745399475	112,5	0,0490814894778252	
400	0,263468772172928	115,625	0,0647217640509037	
500	0,362330049276352	118,75	0,0637844016529805	
630	0,48014909029007	121,875	0,0587237324956419	
800	0,617120683193207	125	0,0586300368310723	
1000	0,735056340694427	128,125	0,0615825005394063	
1250	0,884631454944611	131,25	0,0501282718526146	
1600	0,960496246814728	134,375	0,0603822186515455	
2000	0,985211968421936	137,5	0,0760498941232525	
2500	0,963326871395111	140,625	0,0726458667759305	
3150	0,925705671310425	143,75	0,0789016075829992	
4000	0,921144843101501	146,875	0,0712743653192067	
		150	0,0550994883356331	
		153,125	0,0891155069609211	
		156,25	0,076677037293339	
		159,375	0,0713475718105692	
		162,5	0,0701077805582677	
		165,625	0,0624271694906871	
		168,75	0,102252503369117	
		171,875	0,0989594805023725	
		175	0,0933147996557638	
		178,125	0,104931967753082	
		181,25	0,0984710700214944	
		184,375	0,0997696686087622	
		187,5	0,0979123065767754	
		190,625	0,0928817831164026	
		193,75	0,101873902670842	
		196,875	0,106152165360638	
		200	0,111696351451385	
		203,125	0,113976300028903	
		206,25	0,10848083194497	
		209,375	0,118093033301952	
		212,5	0,104116102840174	
		215,625	0,108181358265059	
		218,75	0,117025612813661	
		221,875	0,105998520086437	
		225	0,115099056510976	
		228,125	0,126472767147291	
		231,25	0,131944103983253	
		234,375	0,12002270079345	
		237,5	0,12842108025291	
		240,625	0,123081970033419	
		243,75	0,135119590248347	
		246,875	0,149059817826297	
		250	0,138469069275566	
		253,125	0,14140687258039	
		256,25	0,154897266392691	
		259,375	0,158183443498279	
		262,5	0,137328668769925	
		265,625	0,140795202385566	
		268,75	0,140686385443828	
		271,875	0,152456503478466	
		275	0,173807023413936	
		278,125	0,173316305885868	
		281,25	0,15874909574751	
		284,375	0,161773671151018	
		287,5	0,177437972745543	
		290,625	0,182535013913046	
		293,75	0,17860912600116	
		296,875	0,167188023993646	
		300	0,185023351917891	
		303,125	0,199060679725356	
		306,25	0,210019634171297	
		309,375	0,208222351675756	
		312,5	0,223669057465626	
		315,625	0,218637453561019	
		318,75	0,213316914190584	
		321,875	0,232965305407025	
		325	0,237083489194836	
		328,125	0,223515457842244	
		331,25	0,206872115751674	
		334,375	0,221927638470211	
		337,5	0,213397977446161	
		340,625	0,215836190418336	
		343,75	0,221928032260567	
		346,875	0,216482865560495	
