Frequency in Hz	Wool_92 Normalized Surface Impedance continuous Re	Frequency in Hz	Wool_92 Normalized Surface Impedance continuous Im	
100	2,09148979187012	100	-14,6431264877319	
103,125	3,18986034393311	103,125	-13,4878997802734	
106,25	2,70863389968872	106,25	-14,1138505935669	
109,375	2,71850347518921	109,375	-13,5082588195801	
112,5	2,36204290390015	112,5	-13,3547315597534	
115,625	2,34260058403015	115,625	-12,9837369918823	
118,75	2,87287044525146	118,75	-12,9684829711914	
121,875	1,89881467819214	121,875	-12,0733032226563	
125	2,32561421394348	125	-11,7405319213867	
128,125	2,97468519210815	128,125	-11,3358554840088	
131,25	2,92004442214966	131,25	-10,9702291488647	
134,375	2,5823667049408	134,375	-11,1405506134033	
137,5	2,41339039802551	137,5	-10,6072978973389	
140,625	2,27312994003296	140,625	-10,8793325424194	
143,75	2,14812183380127	143,75	-10,4711065292358	
146,875	2,51361656188965	146,875	-10,1780195236206	
150	1,81235933303833	150	-10,0892343521118	
153,125	1,52777242660522	153,125	-9,92574405670166	
156,25	2,09530997276306	156,25	-9,59075450897217	
159,375	2,13545346260071	159,375	-9,66145992279053	
162,5	1,50367724895477	162,5	-9,26694965362549	
165,625	1,79347205162048	165,625	-9,14203071594238	
168,75	2,31742763519287	168,75	-9,04990482330322	
171,875	2,10650706291199	171,875	-8,44850826263428	
175	1,9278461933136	175	-8,69950103759766	
178,125	1,78514456748962	178,125	-8,31858062744141	
181,25	1,85722756385803	181,25	-8,41224384307861	
184,375	1,91662192344666	184,375	-7,99968576431274	
187,5	2,03189921379089	187,5	-8,09000396728516	
190,625	1,98070585727692	190,625	-7,94327402114868	
193,75	2,00590419769287	193,75	-7,6043758392334	
196,875	1,98625910282135	196,875	-7,71515560150146	
200	1,65770268440247	200	-7,61175489425659	
203,125	1,90852308273315	203,125	-7,5196795463562	
206,25	1,79523956775665	206,25	-7,64298439025879	
209,375	1,75295031070709	209,375	-6,99178838729858	
212,5	2,075279712677	212,5	-7,30669450759888	
215,625	1,9100946187973	215,625	-7,01655054092407	
218,75	2,04604530334473	218,75	-6,96133995056152	
221,875	1,78340911865234	221,875	-6,78015518188477	
225	1,87743723392487	225	-6,65151500701904	
228,125	1,77637195587158	228,125	-6,65747928619385	
231,25	2,03035497665405	231,25	-6,5150032043457	
234,375	1,78623580932617	234,375	-6,43976736068726	
237,5	1,6170072555542	237,5	-6,45370244979858	
240,625	1,63622212409973	240,625	-6,26124477386475	
243,75	1,85337352752686	243,75	-6,13593196868896	
246,875	1,75230693817139	246,875	-6,18346452713013	
250	1,65001404285431	250	-6,03046131134033	
253,125	1,64558565616608	253,125	-5,96628952026367	
256,25	1,73037755489349	256,25	-5,87154722213745	
259,375	1,751669049263	259,375	-5,88960409164429	
262,5	1,64267158508301	262,5	-5,87694072723389	
265,625	1,69902455806732	265,625	-5,39797067642212	
268,75	1,69655191898346	268,75	-5,47017860412598	
271,875	1,74442577362061	271,875	-5,54516983032227	
275	1,67361831665039	275	-5,43743944168091	
278,125	1,76099324226379	278,125	-5,25963068008423	
281,25	1,62079906463623	281,25	-5,24296140670776	
284,375	1,69307672977448	284,375	-5,25793361663818	
287,5	1,55608797073364	287,5	-5,1284384727478	
290,625	1,60111653804779	290,625	-5,1376895904541	
293,75	1,58921527862549	293,75	-4,96855449676514	
296,875	1,67031037807465	296,875	-4,88973522186279	
300	1,56944537162781	300	-4,86801338195801	
303,125	1,72396302223206	303,125	-4,61651372909546	
306,25	1,61374497413635	306,25	-4,49535322189331	
309,375	1,54777371883392	309,375	-4,47298812866211	
312,5	1,6417521238327	312,5	-4,49864721298218	
315,625	1,68326187133789	315,625	-4,31028079986572	
318,75	1,71518754959106	318,75	-4,305091381073	
321,875	1,91585779190063	321,875	-4,379234790802	
325	1,9514571428299	325	-4,46688938140869	
328,125	2,01215434074402	328,125	-4,41489315032959	
331,25	1,81304454803467	331,25	-4,43531322479248	
334,375	1,73620975017548	334,375	-4,52431583404541	
337,5	1,71126759052277	337,5	-4,46956539154053	
340,625	1,6720929145813	340,625	-4,32670545578003	
343,75	1,69168925285339	343,75	-4,33018445968628	
346,875	1,62943291664124	346,875	-4,2485089302063	
350	1,69531083106995	350	-4,23328018188477	
353,125	1,69606626033783	353,125	-4,1609525680542	
356,25	1,60269999504089	356,25	-4,15517044067383	
359,375	1,63523876667023	359,375	-4,18436241149902	
362,5	1,56169605255127	362,5	-4,10300874710083	
365,625	1,54890251159668	365,625	-4,0024094581604	
368,75	1,56320488452911	368,75	-4,08251523971558	
371,875	1,54887247085571	371,875	-3,95593976974487	
375	1,61534917354584	375	-3,91204357147217	
378,125	1,54176664352417	378,125	-3,90189003944397	
381,25	1,57369470596313	381,25	-3,90490746498108	
384,375	1,59138560295105	384,375	-3,83396911621094	
387,5	1,6065536737442	387,5	-3,72502064704895	
390,625	1,63456761837006	390,625	-3,70236444473267	
393,75	1,56853294372559	393,75	-3,66254639625549	
396,875	1,57118558883667	396,875	-3,6939070224762	
400	1,57005953788757	400	-3,70629906654358	
403,125	1,62822496891022	403,125	-3,6420693397522	
406,25	1,59442162513733	406,25	-3,58253026008606	
409,375	1,52918994426727	409,375	-3,52486109733582	
412,5	1,56635594367981	412,5	-3,47088313102722	
415,625	1,59262633323669	415,625	-3,48380446434021	
418,75	1,60617125034332	418,75	-3,41359972953796	
421,875	1,55593085289001	421,875	-3,46685457229614	
425	1,4971479177475	425	-3,43637013435364	
428,125	1,49977481365204	428,125	-3,45437097549438	
431,25	1,4918327331543	431,25	-3,37812948226929	
434,375	1,54424774646759	434,375	-3,3993775844574	
437,5	1,48130476474762	437,5	-3,38526630401611	
440,625	1,36241018772125	440,625	-3,38802361488342	
443,75	1,46577715873718	443,75	-3,29609084129334	
446,875	1,5274316072464	446,875	-3,27229642868042	
450	1,54167807102203	450	-3,23032855987549	
453,125	1,53713834285736	453,125	-3,20622181892395	
456,25	1,51116359233856	456,25	-3,19776201248169	
459,375	1,5164920091629	459,375	-3,20509314537048	
462,5	1,48388302326202	462,5	-3,15915203094482	
465,625	1,49548196792603	465,625	-3,11582970619202	
468,75	1,50726413726807	468,75	-3,06145358085632	
471,875	1,48909854888916	471,875	-3,05303525924683	
475	1,49295449256897	475	-3,02394962310791	
478,125	1,50199115276337	478,125	-3,00242137908936	
481,25	1,48320031166077	481,25	-2,97758388519287	
484,375	1,47569513320923	484,375	-2,97412085533142	
487,5	1,48869073390961	487,5	-2,93438029289246	
490,625	1,45561289787292	490,625	-2,91313672065735	
493,75	1,46428847312927	493,75	-2,89706969261169	
496,875	1,47800850868225	496,875	-2,88492465019226	
500	1,45471239089966	500	-2,87797021865845	
503,125	1,45783126354218	503,125	-2,83064317703247	
506,25	1,47956120967865	506,25	-2,8318612575531	
509,375	1,47351169586182	509,375	-2,78777742385864	
512,5	1,46667313575745	512,5	-2,75217771530151	
515,625	1,45741713047028	515,625	-2,74327516555786	
518,75	1,460409283638	518,75	-2,73877954483032	
521,875	1,45518898963928	521,875	-2,7389919757843	
525	1,44254314899445	525	-2,72322797775269	
528,125	1,46548819541931	528,125	-2,67636775970459	
531,25	1,48939216136932	531,25	-2,64346170425415	
534,375	1,45087397098541	534,375	-2,64715957641602	
537,5	1,44609475135803	537,5	-2,63835167884827	
540,625	1,4548704624176	540,625	-2,59996819496155	
543,75	1,44289124011993	543,75	-2,58571791648865	
546,875	1,43188238143921	546,875	-2,5819673538208	
550	1,46102225780487	550	-2,56892561912537	
553,125	1,44012987613678	553,125	-2,5335521697998	
556,25	1,46820402145386	556,25	-2,51944899559021	
559,375	1,48403739929199	559,375	-2,49619197845459	
562,5	1,47261035442352	562,5	-2,48682117462158	
565,625	1,44653308391571	565,625	-2,48769021034241	
568,75	1,45340728759766	568,75	-2,45019721984863	
571,875	1,48072457313538	571,875	-2,42552328109741	
575	1,48244941234589	575	-2,41573691368103	
578,125	1,47946417331696	578,125	-2,40461826324463	
581,25	1,48418414592743	581,25	-2,37927913665771	
584,375	1,47265613079071	584,375	-2,37403702735901	
587,5	1,48161339759827	587,5	-2,36752700805664	
590,625	1,48222231864929	590,625	-2,34814882278442	
593,75	1,48623669147491	593,75	-2,33109998703003	
596,875	1,48843908309937	596,875	-2,32006669044495	
600	1,48583769798279	600	-2,3095600605011	
603,125	1,47364318370819	603,125	-2,29184031486511	
606,25	1,49033188819885	606,25	-2,29075860977173	
609,375	1,4741792678833	609,375	-2,2609281539917	
612,5	1,47867941856384	612,5	-2,26024651527405	
615,625	1,47921514511108	615,625	-2,25801157951355	
618,75	1,47794759273529	618,75	-2,23160481452942	
621,875	1,49201786518097	621,875	-2,21863770484924	
625	1,47743737697601	625	-2,20006275177002	
628,125	1,48075604438782	628,125	-2,20007061958313	
631,25	1,47824668884277	631,25	-2,18442010879517	
634,375	1,48187685012817	634,375	-2,17124938964844	
637,5	1,48176872730255	637,5	-2,14967322349548	
640,625	1,48630654811859	640,625	-2,14419460296631	
643,75	1,49241387844086	643,75	-2,12861013412476	
646,875	1,49594926834106	646,875	-2,11413955688477	
650	1,48502743244171	650	-2,10738801956177	
653,125	1,49709939956665	653,125	-2,08823251724243	
656,25	1,49217665195465	656,25	-2,09048581123352	
659,375	1,48095285892487	659,375	-2,08049416542053	
662,5	1,4836311340332	662,5	-2,06294512748718	
