Frequency in Hz	Wool_92 Sound Absorption Coefficient 1/3-octave	Frequency in Hz	Wool_92 Sound Absorption Coefficient continuous	
125	0,0668565928936005	100	0,0373516232229983	
160	0,0806645750999451	103,125	0,0639640378263316	
200	0,115920051932335	106,25	0,0508771705491636	
250	0,162620842456818	109,375	0,0553947801666067	
315	0,243451043963432	112,5	0,0498184164876867	
400	0,312680542469025	115,625	0,0521300718262065	
500	0,416968047618866	118,75	0,0627330490359004	
630	0,54464989900589	121,875	0,0492661934958233	
800	0,665888428688049	125	0,0624746032379825	
1000	0,757105231285095	128,125	0,0824585106665461	
1250	0,879155397415161	131,25	0,0860654903978902	
1600	0,912289083003998	134,375	0,0754277311096544	
2000	0,91474586725235	137,5	0,0777472145758007	
2500	0,905821144580841	140,625	0,0704446483232118	
3150	0,892479062080383	143,75	0,0718707278654461	
4000	0,91621607542038	146,875	0,0867230903884004	
		150	0,0660829949148115	
		153,125	0,0582507716427179	
		156,25	0,0825221663583553	
		159,375	0,0827896595341199	
		162,5	0,0652745684456334	
		165,625	0,0785059291799405	
		168,75	0,0997750345315475	
		171,875	0,103989496906769	
		175	0,0915258824326236	
		178,125	0,0927880236620494	
		181,25	0,0941207059556322	
		184,375	0,105742240928087	
		187,5	0,108889784371947	
		190,625	0,110069458879403	
		193,75	0,120002658114851	
		196,875	0,116085291841696	
		200	0,102009018124372	
		203,125	0,117438385343892	
		206,25	0,108426883719764	
		209,375	0,124182160014351	
		212,5	0,132088510497804	
		215,625	0,132414123402072	
		218,75	0,141745292203814	
		221,875	0,132798212762184	
		225	0,142982108994094	
		228,125	0,136564496808701	
		231,25	0,157305522630745	
		234,375	0,145122979934812	
		237,5	0,133364181539456	
		240,625	0,141808974864326	
		243,75	0,161897081466646	
		246,875	0,153005075248725	
		250	0,152113455130066	
		253,125	0,154530568431563	
		256,25	0,16507288965639	
		259,375	0,16580269009191	
		262,5	0,158245361657463	
		265,625	0,186589016314506	
		268,75	0,182453151286211	
		271,875	0,182276918572791	
		275	0,182341256169455	
		278,125	0,199620633702938	
		281,25	0,188699600560564	
		284,375	0,194057098466956	
		287,5	0,189567642527938	
		290,625	0,193128630320609	
		293,75	0,202508627390211	
		296,875	0,215245700226431	
		300	0,20719022987356	
		303,125	0,240004552925922	
		306,25	0,238720885101627	
		309,375	0,233637042076617	
		312,5	0,241286147429012	
		315,625	0,261189325029851	
		318,75	0,26483193159327	
		321,875	0,276858816757653	
		325	0,272319782912521	
		328,125	0,281771355360759	
		331,25	0,262900831062063	
		334,375	0,248417888149652	
		337,5	0,250478388349778	
		340,625	0,258633120173931	
		343,75	0,260303051505942	
		346,875	0,261087900214979	
		350	0,269253364466782	
		353,125	0,275981721391547	
		356,25	0,266677861285713	
		359,375	0,267486809686422	
		362,5	0,266991196994165	
		365,625	0,275162527576021	
		368,75	0,269089499510472	
		371,875	0,279753948029941	
		375	0,291788146270397	
		378,125	0,284388960155593	
		381,25	0,287798064102945	
		384,375	0,297252491438796	
		387,5	0,3108972103246	
		390,625	0,316647071982714	
		393,75	0,313524610331081	
		396,875	0,310266564320928	
		400	0,308734704392966	
		403,125	0,322864541463039	
		406,25	0,325965153873695	
		409,375	0,324988775118734	
		412,5	0,336250342089918	
		415,625	0,337803619648245	
		418,75	0,348319716401376	
		421,875	0,335476999542482	
		425	0,331881101375184	
		428,125	0,329955256703128	
		431,25	0,338649048805718	
		434,375	0,342614855640105	
		437,5	0,336337188158159	
		440,625	0,319445555566728	
		443,75	0,346023051577371	
		446,875	0,357380985405341	
		450	0,364998957877931	
		453,125	0,367803986461755	
		456,25	0,365641877783029	
		459,375	0,365301938936754	
		462,5	0,367527130818708	
		465,625	0,375376118540671	
		468,75	0,385024948902194	
		471,875	0,383871491014334	
		475	0,388813163041615	
		478,125	0,393333158701483	
		481,25	0,394670504334522	
		484,375	0,394189862837197	
		487,5	0,402235541147918	
		490,625	0,4010947397667	
		493,75	0,40489860188507	
		496,875	0,408760607315111	
		500	0,406675767227765	
		503,125	0,414938310263625	
		506,25	0,417729111989152	
		509,375	0,424338533271202	
		512,5	0,429512426449979	
		515,625	0,429775294778056	
		518,75	0,430973148046406	
		521,875	0,430210146569988	
		525	0,431189538288996	
		528,125	0,442692976770131	
		531,25	0,451845708571094	
		534,375	0,4459344254948	
		537,5	0,446867591268869	
		540,625	0,4551368571895	
		543,75	0,456118394334182	
		546,875	0,455266560329189	
		550	0,461763971338715	
		553,125	0,46556719178108	
		556,25	0,472104443843177	
		559,375	0,478667067680183	
		562,5	0,478972373965561	
		565,625	0,4752811134648	
		568,75	0,483555414753857	
		571,875	0,492051243840138	
		575	0,494218173175075	
		578,125	0,496051163374608	
		581,25	0,501746611826944	
		584,375	0,501326360204554	
		587,5	0,503796404554673	
		590,625	0,50781775911347	
		593,75	0,511815929286519	
		596,875	0,514361701598587	
		600	0,516209057724094	
		603,125	0,518366283422192	
		606,25	0,520670528252008	
		609,375	0,524929090986321	
		612,5	0,525632784034976	
		615,625	0,526171221938497	
		618,75	0,531622227358827	
		621,875	0,536094165600674	
		625	0,538327961394081	
		628,125	0,53872801831465	
		631,25	0,541809842960462	
		634,375	0,545106411629899	
		637,5	0,549807615159563	
		640,625	0,551541497303669	
		643,75	0,555673054558041	
		646,875	0,559267405279289	
		650	0,559519669136287	
		653,125	0,565144655557679	
		656,25	0,564092612617254	
		659,375	0,565055956199619	
		662,5	0,569304496356641	
		665,625	0,572995634957042	
		668,75	0,573002583259289	
		671,875	0,578594047976962	
		675	0,583254430519517	
		678,125	0,584162429806185	
		681,25	0,585020282176962	
		684,375	0,584786493105505	
		687,5	0,588983221595108	
