Frequency in Hz	Wool_95 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_95 Sound Reflection Factor continuous Im	
100	0,964748322963715	100	-0,128739401698112	
103,125	0,957401096820831	103,125	-0,119420699775219	
106,25	0,960232198238373	106,25	-0,153269648551941	
109,375	0,972029507160187	109,375	-0,138279154896736	
112,5	0,959437668323517	112,5	-0,143615454435349	
115,625	0,957832217216492	115,625	-0,155761405825615	
118,75	0,962734758853912	118,75	-0,148186311125755	
121,875	0,94972026348114	121,875	-0,156914368271828	
125	0,961992502212524	125	-0,159170776605606	
128,125	0,960538268089294	128,125	-0,171299234032631	
131,25	0,960950076580048	131,25	-0,169832676649094	
134,375	0,969902276992798	134,375	-0,170605108141899	
137,5	0,944650232791901	137,5	-0,186850175261497	
140,625	0,943239986896515	140,625	-0,175907999277115	
143,75	0,939997792243958	143,75	-0,187877759337425	
146,875	0,957943379878998	146,875	-0,17755338549614	
150	0,944575428962708	150	-0,18906868994236	
153,125	0,944429934024811	153,125	-0,203655645251274	
156,25	0,945304930210114	156,25	-0,198922231793404	
159,375	0,944834053516388	159,375	-0,204823940992355	
162,5	0,946328520774841	162,5	-0,205077022314072	
165,625	0,941148281097412	165,625	-0,205160930752754	
168,75	0,938484370708466	168,75	-0,223206251859665	
171,875	0,933779358863831	171,875	-0,213737562298775	
175	0,927184879779816	175	-0,22222301363945	
178,125	0,93474668264389	178,125	-0,227074906229973	
181,25	0,934605836868286	181,25	-0,224776074290276	
184,375	0,928301393985748	184,375	-0,225995600223541	
187,5	0,919356942176819	187,5	-0,236567154526711	
190,625	0,919225871562958	190,625	-0,232492342591286	
193,75	0,914153635501862	193,75	-0,246020376682281	
196,875	0,917906880378723	196,875	-0,241633594036102	
200	0,92511385679245	200	-0,242925330996513	
203,125	0,929129719734192	203,125	-0,243250653147697	
206,25	0,91562157869339	206,25	-0,26287516951561	
209,375	0,914623618125916	209,375	-0,257317095994949	
212,5	0,922971427440643	212,5	-0,252571493387222	
215,625	0,907286882400513	215,625	-0,268069714307785	
218,75	0,911875426769257	218,75	-0,260946124792099	
221,875	0,906788766384125	221,875	-0,270713806152344	
225	0,901834666728973	225	-0,270347148180008	
228,125	0,899035334587097	228,125	-0,274081349372864	
231,25	0,898962497711182	231,25	-0,275876194238663	
234,375	0,894278466701508	234,375	-0,279907494783401	
237,5	0,901496410369873	237,5	-0,280401229858398	
240,625	0,899180114269257	240,625	-0,297133654356003	
243,75	0,896897375583649	243,75	-0,292219907045364	
246,875	0,886563301086426	246,875	-0,293190628290176	
250	0,884212136268616	250	-0,294990599155426	
253,125	0,887703835964203	253,125	-0,299873322248459	
256,25	0,882476449012756	256,25	-0,307374954223633	
259,375	0,877175807952881	259,375	-0,303207278251648	
262,5	0,879273891448975	262,5	-0,311710625886917	
265,625	0,880012273788452	265,625	-0,319276183843613	
268,75	0,876879632472992	268,75	-0,315261214971542	
271,875	0,871078193187714	271,875	-0,323436498641968	
275	0,874157786369324	275	-0,32574537396431	
278,125	0,865939140319824	278,125	-0,330537974834442	
281,25	0,865374088287354	281,25	-0,33032962679863	
284,375	0,863975763320923	284,375	-0,332993030548096	
287,5	0,871112763881683	287,5	-0,331453949213028	
290,625	0,855175852775574	290,625	-0,351732701063156	
293,75	0,857770085334778	293,75	-0,3520168364048	
296,875	0,852977812290192	296,875	-0,353559643030167	
300	0,848910570144653	300	-0,357006430625916	
303,125	0,844041347503662	303,125	-0,36425906419754	
306,25	0,837650179862976	306,25	-0,366404831409454	
309,375	0,831629037857056	309,375	-0,366486936807632	
312,5	0,819531083106995	312,5	-0,372418969869614	
315,625	0,810177505016327	315,625	-0,357093721628189	
318,75	0,807147979736328	318,75	-0,360326886177063	
321,875	0,815473556518555	321,875	-0,354111909866333	
325	0,817882120609283	325	-0,349826127290726	
328,125	0,815121293067932	328,125	-0,346454232931137	
331,25	0,82299530506134	331,25	-0,362126886844635	
334,375	0,822934150695801	334,375	-0,36489537358284	
337,5	0,820003211498261	337,5	-0,362477958202362	
340,625	0,821686506271362	340,625	-0,369098901748657	
343,75	0,814766466617584	343,75	-0,376965761184692	
346,875	0,815421462059021	346,875	-0,378550320863724	
350	0,812425851821899	350	-0,377937406301498	
353,125	0,812881290912628	353,125	-0,380042016506195	
356,25	0,814088404178619	356,25	-0,390184342861176	
