Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_95 Normalized Surface Impedance continuous Im	
100	3,67351579666138	100	-12,9818811416626	
103,125	4,94256401062012	103,125	-13,1313333511353	
106,25	2,93562173843384	106,25	-11,151195526123	
109,375	2,96214556694031	109,375	-12,5114526748657	
112,5	3,56417059898376	112,5	-11,5434904098511	
115,625	3,11211633682251	115,625	-10,8919324874878	
118,75	3,24676513671875	118,75	-11,4991369247437	
121,875	3,59954833984375	121,875	-10,3988561630249	
125	2,94549465179443	125	-10,7852087020874	
128,125	2,65198945999146	128,125	-10,2076406478882	
131,25	2,7375180721283	131,25	-10,2838687896729	
134,375	2,33848142623901	134,375	-10,5182847976685	
137,5	2,90478706359863	137,5	-9,0196361541748	
140,625	3,37413620948792	140,625	-9,32956504821777	
143,75	3,09464049339294	143,75	-8,80071640014648	
146,875	2,88618063926697	146,875	-9,76636219024658	
150	3,01081204414368	150	-8,86840534210205	
153,125	2,61609721183777	153,125	-8,4350643157959	
156,25	2,78016424179077	156,25	-8,58918952941895	
159,375	2,66960310935974	159,375	-8,39161491394043	
162,5	2,66493535041809	162,5	-8,41796875	
165,625	2,85045790672302	165,625	-8,26161193847656	
168,75	2,47563219070435	168,75	-7,72890424728394	
171,875	2,87493348121643	171,875	-7,81771612167358	
175	2,83373546600342	175	-7,44387197494507	
178,125	2,58732271194458	178,125	-7,52933645248413	
181,25	2,69143342971802	181,25	-7,56501722335815	
184,375	2,83513283729553	184,375	-7,3666353225708	
187,5	2,77580785751343	187,5	-6,94357776641846	
190,625	2,90794062614441	190,625	-6,99560356140137	
193,75	2,70974230766296	193,75	-6,65414714813232	
196,875	2,78008008003235	196,875	-6,79213905334473	
200	2,66883397102356	200	-6,93498420715332	
203,125	2,64346289634705	203,125	-7,00014781951904	
206,25	2,46031665802002	206,25	-6,38988780975342	
209,375	2,61875247955322	209,375	-6,44368934631348	
212,5	2,63660025596619	212,5	-6,68905115127563	
215,625	2,56423473358154	215,625	-6,12851810455322	
218,75	2,68988752365112	218,75	-6,31433486938477	
221,875	2,58517456054688	221,875	-6,07784843444824	
225	2,68220996856689	225	-5,97920274734497	
228,125	2,6711220741272	228,125	-5,87898063659668	
