Frequency in Hz	Wool_94 Sound Reflection Factor continuous Re	Frequency in Hz	Wool_94 Sound Reflection Factor continuous Im	
100	0,9638951420784	100	-0,128813594579697	
103,125	0,956332087516785	103,125	-0,119636915624142	
106,25	0,95850020647049	106,25	-0,153142660856247	
109,375	0,969573676586151	109,375	-0,138611450791359	
112,5	0,957062900066376	112,5	-0,144053310155869	
115,625	0,956424474716187	115,625	-0,155758425593376	
118,75	0,961308419704437	118,75	-0,147816136479378	
121,875	0,94734525680542	121,875	-0,155615925788879	
125	0,959559142589569	125	-0,158365666866302	
128,125	0,957874834537506	128,125	-0,170022442936897	
131,25	0,958321630954742	131,25	-0,168135672807693	
134,375	0,967218339443207	134,375	-0,168871492147446	
137,5	0,94204181432724	137,5	-0,184807315468788	
140,625	0,940469563007355	140,625	-0,173675835132599	
143,75	0,937158226966858	143,75	-0,185267701745033	
146,875	0,955056548118591	146,875	-0,174855172634125	
150	0,94180303812027	150	-0,186439469456673	
153,125	0,94128280878067	153,125	-0,200426131486893	
156,25	0,942078828811646	156,25	-0,195461452007294	
159,375	0,941542983055115	159,375	-0,201257556676865	
162,5	0,942969262599945	162,5	-0,201309844851494	
165,625	0,93772554397583	165,625	-0,201117023825645	
168,75	0,93495786190033	168,75	-0,218908563256264	
171,875	0,930209159851074	171,875	-0,20935545861721	
175	0,923517227172852	175	-0,217516630887985	
178,125	0,930923640727997	178,125	-0,222136035561562	
181,25	0,930672943592072	181,25	-0,219711914658546	
184,375	0,924216449260712	184,375	-0,220706284046173	
187,5	0,915181457996368	187,5	-0,23093444108963	
190,625	0,914933860301971	190,625	-0,22673125565052	
193,75	0,909818470478058	193,75	-0,239955440163612	
196,875	0,913374543190002	196,875	-0,235459566116333	
200	0,920394361019135	200	-0,236586436629295	
203,125	0,924166619777679	203,125	-0,236736088991165	
206,25	0,910654425621033	206,25	-0,255906611680985	
209,375	0,909561336040497	209,375	-0,250224262475967	
212,5	0,917689621448517	212,5	-0,245319530367851	
215,625	0,902001142501831	215,625	-0,260420203208923	
218,75	0,906417906284332	218,75	-0,253135681152344	
221,875	0,901174306869507	221,875	-0,262597411870956	
225	0,896157205104828	225	-0,261947304010391	
228,125	0,893236994743347	228,125	-0,265403509140015	
231,25	0,893021941184998	231,25	-0,266964167356491	
