Frequency in Hz	Silk_92 Normalized Surface Impedance continuous Re	Frequency in Hz	Silk_92 Normalized Surface Impedance continuous Im	
100	5,02008962631226	100	-13,6212205886841	
103,125	5,46675443649292	103,125	-13,934121131897	
106,25	4,72300672531128	106,25	-13,0709314346313	
109,375	5,43555879592896	109,375	-13,9345169067383	
112,5	5,08084106445313	112,5	-12,1441287994385	
115,625	5,52229309082031	115,625	-11,4277801513672	
118,75	5,68139505386353	118,75	-11,4829244613647	
121,875	5,5062460899353	121,875	-11,3807430267334	
125	5,61643266677856	125	-11,2576885223389	
128,125	5,60054206848145	128,125	-10,9357614517212	
131,25	4,65546894073486	131,25	-10,4944305419922	
134,375	5,37756156921387	134,375	-10,4906873703003	
137,5	5,37468671798706	137,5	-9,6703462600708	
140,625	5,80553722381592	140,625	-9,96085166931152	
143,75	5,31759548187256	143,75	-9,26195812225342	
146,875	5,25366401672363	146,875	-9,3656759262085	
150	5,25015115737915	150	-9,89068794250488	
153,125	5,33477258682251	153,125	-8,59733581542969	
156,25	5,23551273345947	156,25	-8,80848979949951	
159,375	5,18879079818726	159,375	-8,84801578521729	
162,5	5,27177572250366	162,5	-8,84284973144531	
165,625	4,94646835327148	165,625	-8,73189163208008	
168,75	5,40528202056885	168,75	-7,7999415397644	
171,875	5,15310668945313	171,875	-7,65370464324951	
175	5,39882707595825	175	-7,84603691101074	
178,125	5,31473541259766	178,125	-7,42534923553467	
181,25	5,43643856048584	181,25	-7,54567384719849	
184,375	5,05295753479004	184,375	-7,27847719192505	
187,5	5,30570888519287	187,5	-7,34990262985229	
190,625	5,29126596450806	190,625	-7,39365863800049	
193,75	5,29764652252197	193,75	-7,10357046127319	
196,875	5,18224573135376	196,875	-6,87883567810059	
200	5,401282787323	200	-6,80097579956055	
203,125	5,03920221328735	203,125	-6,56399822235107	
206,25	5,31642484664917	206,25	-6,70105695724487	
209,375	5,20892333984375	209,375	-6,43826246261597	
212,5	5,32099437713623	212,5	-6,66670894622803	
215,625	5,2617335319519	215,625	-6,50895071029663	
218,75	5,46451568603516	218,75	-6,34675598144531	
221,875	4,9758825302124	221,875	-6,36396265029907	
225	5,29580450057983	225	-6,23415040969849	
228,125	5,17625570297241	228,125	-5,96461343765259	
231,25	5,14729881286621	231,25	-5,82294130325317	
